"","city_no","walk_no","reward","H","B","A","v","subjID","mean","sd","best_leaf","best_reward","worst_leaf","worst_reward","step_reward","perc_reward","regret","step_regret","perc_regret","score","zreward"
"691",20,1,47,2,3,0.5,0,"A1XA2WZVXTTLOI",49,5.29150262212918,3,55,4,45,47,-0.333333333333333,8,8,1.33333333333333,0.2,-0.377964473009227
"692",20,2,60,2,3,0.5,0,"A1XA2WZVXTTLOI",49,5.29150262212918,3,55,4,45,60,1.83333333333333,-5,-5,-0.833333333333333,1,2.07880460155075
"693",20,3,49,2,3,0.5,0,"A1XA2WZVXTTLOI",49,5.29150262212918,3,55,4,45,49,0,6,6,1,0.4,0
"694",20,4,55,2,3,0.5,0,"A1XA2WZVXTTLOI",49,5.29150262212918,3,55,4,45,55,1,0,0,0,1,1.13389341902768
"695",20,5,47,2,3,0.5,0,"A1XA2WZVXTTLOI",49,5.29150262212918,3,55,4,45,47,-0.333333333333333,8,8,1.33333333333333,0.2,-0.377964473009227
"696",20,6,47,2,3,0.5,0,"A1XA2WZVXTTLOI",49,5.29150262212918,3,55,4,45,47,-0.333333333333333,8,8,1.33333333333333,0.2,-0.377964473009227
"697",20,7,54,2,3,0.5,0,"A1XA2WZVXTTLOI",49,5.29150262212918,3,55,4,45,54,0.833333333333333,1,1,0.166666666666667,0.9,0.944911182523068
"698",20,8,57,2,3,0.5,0,"A1XA2WZVXTTLOI",49,5.29150262212918,3,55,4,45,57,1.33333333333333,-2,-2,-0.333333333333333,1,1.51185789203691
"699",20,9,44,2,3,0.5,0,"A1XA2WZVXTTLOI",49,5.29150262212918,3,55,4,45,44,-0.833333333333333,11,11,1.83333333333333,0,-0.944911182523068
"700",20,10,56,2,3,0.5,0,"A1XA2WZVXTTLOI",49,5.29150262212918,3,55,4,45,56,1.16666666666667,-1,-1,-0.166666666666667,1,1.3228756555323
"701",20,11,46,2,3,0.5,0,"A1XA2WZVXTTLOI",49,5.29150262212918,3,55,4,45,46,-0.5,9,9,1.5,0.1,-0.566946709513841
"702",20,12,55,2,3,0.5,0,"A1XA2WZVXTTLOI",49,5.29150262212918,3,55,4,45,55,1,0,0,0,1,1.13389341902768
"703",20,13,47,2,3,0.5,0,"A1XA2WZVXTTLOI",49,5.29150262212918,3,55,4,45,47,-0.333333333333333,8,8,1.33333333333333,0.2,-0.377964473009227
"704",20,14,48,2,3,0.5,0,"A1XA2WZVXTTLOI",49,5.29150262212918,3,55,4,45,48,-0.166666666666667,7,7,1.16666666666667,0.3,-0.188982236504614
"705",20,15,56,2,3,0.5,0,"A1XA2WZVXTTLOI",49,5.29150262212918,3,55,4,45,56,1.16666666666667,-1,-1,-0.166666666666667,1,1.3228756555323
"706",21,1,77,2,4,0.5,4,"A1XA2WZVXTTLOI",56.25,13.6473440639562,5,74,3,41,77,1.16901408450704,-3,-3,-0.169014084507042,1,1.52044235880317
"707",21,2,58,2,4,0.5,4,"A1XA2WZVXTTLOI",56.25,13.6473440639562,5,74,3,41,58,0.0985915492957746,16,16,0.901408450704225,0.515151515151515,0.128230078453279
"708",21,3,40,2,4,0.5,4,"A1XA2WZVXTTLOI",56.25,13.6473440639562,5,74,3,41,40,-0.915492957746479,34,34,1.91549295774648,0,-1.19070787135188
"709",21,4,53,2,4,0.5,4,"A1XA2WZVXTTLOI",56.25,13.6473440639562,5,74,3,41,53,-0.183098591549296,21,21,1.1830985915493,0.363636363636364,-0.238141574270376
"710",21,5,76,2,4,0.5,4,"A1XA2WZVXTTLOI",56.25,13.6473440639562,5,74,3,41,76,1.11267605633803,-2,-2,-0.112676056338028,1,1.44716802825844
"711",21,6,58,2,4,0.5,4,"A1XA2WZVXTTLOI",56.25,13.6473440639562,5,74,3,41,58,0.0985915492957746,16,16,0.901408450704225,0.515151515151515,0.128230078453279
"712",21,7,58,2,4,0.5,4,"A1XA2WZVXTTLOI",56.25,13.6473440639562,5,74,3,41,58,0.0985915492957746,16,16,0.901408450704225,0.515151515151515,0.128230078453279
"713",21,8,53,2,4,0.5,4,"A1XA2WZVXTTLOI",56.25,13.6473440639562,5,74,3,41,53,-0.183098591549296,21,21,1.1830985915493,0.363636363636364,-0.238141574270376
"714",21,9,42,2,4,0.5,4,"A1XA2WZVXTTLOI",56.25,13.6473440639562,5,74,3,41,42,-0.802816901408451,32,32,1.80281690140845,0.0303030303030303,-1.04415921026242
"715",21,10,77,2,4,0.5,4,"A1XA2WZVXTTLOI",56.25,13.6473440639562,5,74,3,41,77,1.16901408450704,-3,-3,-0.169014084507042,1,1.52044235880317
"716",21,11,57,2,4,0.5,4,"A1XA2WZVXTTLOI",56.25,13.6473440639562,5,74,3,41,57,0.0422535211267606,17,17,0.957746478873239,0.484848484848485,0.0549557479085483
"717",21,12,58,2,4,0.5,4,"A1XA2WZVXTTLOI",56.25,13.6473440639562,5,74,3,41,58,0.0985915492957746,16,16,0.901408450704225,0.515151515151515,0.128230078453279
"718",21,13,74,2,4,0.5,4,"A1XA2WZVXTTLOI",56.25,13.6473440639562,5,74,3,41,74,1,0,0,0,1,1.30061936716898
"719",21,14,59,2,4,0.5,4,"A1XA2WZVXTTLOI",56.25,13.6473440639562,5,74,3,41,59,0.154929577464789,15,15,0.845070422535211,0.545454545454545,0.20150440899801
"720",21,15,54,2,4,0.5,4,"A1XA2WZVXTTLOI",56.25,13.6473440639562,5,74,3,41,54,-0.126760563380282,20,20,1.12676056338028,0.393939393939394,-0.164867243725645
"721",22,1,136,4,3,0.5,8,"A1XA2WZVXTTLOI",145.925925925926,27.4239170264064,33,196,26,102,45.3333333333333,-0.198224852071008,60,20,1.19822485207101,0.361702127659574,-0.36194413498146
"722",22,2,150,4,3,0.5,8,"A1XA2WZVXTTLOI",145.925925925926,27.4239170264064,33,196,26,102,50,0.0813609467455606,46,15.3333333333333,0.918639053254439,0.51063829787234,0.148559159880446
"723",22,3,127,4,3,0.5,8,"A1XA2WZVXTTLOI",145.925925925926,27.4239170264064,33,196,26,102,42.3333333333333,-0.377958579881659,69,23,1.37795857988166,0.265957446808511,-0.690124824535543
"724",22,4,156,4,3,0.5,8,"A1XA2WZVXTTLOI",145.925925925926,27.4239170264064,33,196,26,102,52,0.201183431952661,40,13.3333333333333,0.798816568047339,0.574468085106383,0.367346286249834
"725",22,5,166,4,3,0.5,8,"A1XA2WZVXTTLOI",145.925925925926,27.4239170264064,33,196,26,102,55.3333333333333,0.400887573964496,30,10,0.599112426035504,0.680851063829787,0.731991496865482
"726",22,6,199,4,3,0.5,8,"A1XA2WZVXTTLOI",145.925925925926,27.4239170264064,33,196,26,102,66.3333333333333,1.05991124260355,-3,-1,-0.0599112426035504,1,1.93532069189712
"727",22,7,179,4,3,0.5,8,"A1XA2WZVXTTLOI",145.925925925926,27.4239170264064,33,196,26,102,59.6666666666667,0.660502958579881,17,5.66666666666667,0.339497041420119,0.819148936170213,1.20603027066582
"728",22,8,195,4,3,0.5,8,"A1XA2WZVXTTLOI",145.925925925926,27.4239170264064,33,196,26,102,65,0.980029585798816,1,0.333333333333333,0.0199704142011835,0.98936170212766,1.78946260765086
"729",22,9,170,4,3,0.5,8,"A1XA2WZVXTTLOI",145.925925925926,27.4239170264064,33,196,26,102,56.6666666666667,0.48076923076923,26,8.66666666666667,0.51923076923077,0.723404255319149,0.877849581111741
"730",22,10,136,4,3,0.5,8,"A1XA2WZVXTTLOI",145.925925925926,27.4239170264064,33,196,26,102,45.3333333333333,-0.198224852071008,60,20,1.19822485207101,0.361702127659574,-0.36194413498146
"731",22,11,114,4,3,0.5,8,"A1XA2WZVXTTLOI",145.925925925926,27.4239170264064,33,196,26,102,38,-0.637573964497044,82,27.3333333333333,1.63757396449704,0.127659574468085,-1.16416359833588
"732",22,12,102,4,3,0.5,8,"A1XA2WZVXTTLOI",145.925925925926,27.4239170264064,33,196,26,102,34,-0.877218934911246,94,31.3333333333333,1.87721893491125,0,-1.60173785107466
"733",22,13,151,4,3,0.5,8,"A1XA2WZVXTTLOI",145.925925925926,27.4239170264064,33,196,26,102,50.3333333333333,0.101331360946744,45,15,0.898668639053256,0.521276595744681,0.185023680942011
"734",22,14,152,4,3,0.5,8,"A1XA2WZVXTTLOI",145.925925925926,27.4239170264064,33,196,26,102,50.6666666666667,0.121301775147928,44,14.6666666666667,0.878698224852072,0.531914893617021,0.221488202003575
"735",22,15,128,4,3,0.5,8,"A1XA2WZVXTTLOI",145.925925925926,27.4239170264064,33,196,26,102,42.6666666666667,-0.357988165680476,68,22.6666666666667,1.35798816568048,0.276595744680851,-0.653660303473978
"736",23,1,178,4,3,2,2,"A1XA2WZVXTTLOI",145.814814814815,19.1553106455084,14,178,26,108,59.3333333333333,1,0,0,0,1,1.68022256494869
"737",23,2,175,4,3,2,2,"A1XA2WZVXTTLOI",145.814814814815,19.1553106455084,14,178,26,108,58.3333333333333,0.906789413118526,3,1,0.0932105868814735,0.957142857142857,1.52360803357832
"738",23,3,164,4,3,2,2,"A1XA2WZVXTTLOI",145.814814814815,19.1553106455084,14,178,26,108,54.6666666666667,0.56501726121979,14,4.66666666666667,0.43498273878021,0.8,0.949354751886998
"739",23,4,162,4,3,2,2,"A1XA2WZVXTTLOI",145.814814814815,19.1553106455084,14,178,26,108,54,0.502876869965475,16,5.33333333333333,0.497123130034525,0.771428571428571,0.844945064306756
"740",23,5,165,4,3,2,2,"A1XA2WZVXTTLOI",145.814814814815,19.1553106455084,14,178,26,108,55,0.596087456846948,13,4.33333333333333,0.403912543153052,0.814285714285714,1.00155959567712
"741",23,6,167,4,3,2,2,"A1XA2WZVXTTLOI",145.814814814815,19.1553106455084,14,178,26,108,55.6666666666667,0.658227848101264,11,3.66666666666667,0.341772151898736,0.842857142857143,1.10596928325736
"742",23,7,155,4,3,2,2,"A1XA2WZVXTTLOI",145.814814814815,19.1553106455084,14,178,26,108,51.6666666666667,0.28538550057537,23,7.66666666666667,0.71461449942463,0.671428571428571,0.479511157775912
"743",23,8,161,4,3,2,2,"A1XA2WZVXTTLOI",145.814814814815,19.1553106455084,14,178,26,108,53.6666666666667,0.471806674338317,17,5.66666666666667,0.528193325661683,0.757142857142857,0.792740220516636
"744",23,9,160,4,3,2,2,"A1XA2WZVXTTLOI",145.814814814815,19.1553106455084,14,178,26,108,53.3333333333333,0.440736478711159,18,6,0.559263521288841,0.742857142857143,0.740535376726515
"745",23,10,156,4,3,2,2,"A1XA2WZVXTTLOI",145.814814814815,19.1553106455084,14,178,26,108,52,0.316455696202528,22,7.33333333333333,0.683544303797472,0.685714285714286,0.531716001566033
"746",23,11,127,4,3,2,2,"A1XA2WZVXTTLOI",145.814814814815,19.1553106455084,14,178,26,108,42.3333333333333,-0.58457997698505,51,17,1.58457997698505,0.271428571428571,-0.982224468347464
"747",23,12,122,4,3,2,2,"A1XA2WZVXTTLOI",145.814814814815,19.1553106455084,14,178,26,108,40.6666666666667,-0.739930955120839,56,18.6666666666667,1.73993095512084,0.2,-1.24324868729807
"748",23,13,119,4,3,2,2,"A1XA2WZVXTTLOI",145.814814814815,19.1553106455084,14,178,26,108,39.6666666666667,-0.833141542002312,59,19.6666666666667,1.83314154200231,0.157142857142857,-1.39986321866843
"749",23,14,114,4,3,2,2,"A1XA2WZVXTTLOI",145.814814814815,19.1553106455084,14,178,26,108,38,-0.988492520138102,64,21.3333333333333,1.9884925201381,0.0857142857142857,-1.66088743761903
"750",23,15,119,4,3,2,2,"A1XA2WZVXTTLOI",145.814814814815,19.1553106455084,14,178,26,108,39.6666666666667,-0.833141542002312,59,19.6666666666667,1.83314154200231,0.157142857142857,-1.39986321866843
"751",24,1,46,2,3,1,7,"A1XA2WZVXTTLOI",45.3333333333333,5.85946527708232,3,52,2,41,46,0.100000000000004,6,6,0.899999999999995,0.454545454545455,0.11377602479772
"752",24,2,49,2,3,1,7,"A1XA2WZVXTTLOI",45.3333333333333,5.85946527708232,3,52,2,41,49,0.550000000000002,3,3,0.449999999999998,0.727272727272727,0.625768136387437
"753",24,3,53,2,3,1,7,"A1XA2WZVXTTLOI",45.3333333333333,5.85946527708232,3,52,2,41,53,1.15,-1,-1,-0.149999999999999,1,1.30842428517373
"754",24,4,41,2,3,1,7,"A1XA2WZVXTTLOI",45.3333333333333,5.85946527708232,3,52,2,41,41,-0.649999999999992,11,11,1.64999999999999,0,-0.73954416118514
"755",24,5,44,2,3,1,7,"A1XA2WZVXTTLOI",45.3333333333333,5.85946527708232,3,52,2,41,44,-0.199999999999994,8,8,1.19999999999999,0.272727272727273,-0.227552049595424
"756",24,6,52,2,3,1,7,"A1XA2WZVXTTLOI",45.3333333333333,5.85946527708232,3,52,2,41,52,1,0,0,0,1,1.13776024797715
"757",24,7,41,2,3,1,7,"A1XA2WZVXTTLOI",45.3333333333333,5.85946527708232,3,52,2,41,41,-0.649999999999992,11,11,1.64999999999999,0,-0.73954416118514
"758",24,8,41,2,3,1,7,"A1XA2WZVXTTLOI",45.3333333333333,5.85946527708232,3,52,2,41,41,-0.649999999999992,11,11,1.64999999999999,0,-0.73954416118514
"759",24,9,52,2,3,1,7,"A1XA2WZVXTTLOI",45.3333333333333,5.85946527708232,3,52,2,41,52,1,0,0,0,1,1.13776024797715
"760",24,10,44,2,3,1,7,"A1XA2WZVXTTLOI",45.3333333333333,5.85946527708232,3,52,2,41,44,-0.199999999999994,8,8,1.19999999999999,0.272727272727273,-0.227552049595424
"761",24,11,43,2,3,1,7,"A1XA2WZVXTTLOI",45.3333333333333,5.85946527708232,3,52,2,41,43,-0.349999999999993,9,9,1.34999999999999,0.181818181818182,-0.398216086791996
"762",24,12,42,2,3,1,7,"A1XA2WZVXTTLOI",45.3333333333333,5.85946527708232,3,52,2,41,42,-0.499999999999993,10,10,1.49999999999999,0.0909090909090909,-0.568880123988568
